Working_Year,Designation,Experience,Employment_Status,Employee_Location,Company_Size,Remote_Working_Ratio,Salary_USD
2020.0,Data Scientist,Mid,FT,DE,L,0.0,76227.0
2020.0,Machine Learning Scientist,Senior,FT,JP,S,0.0,248257.0
2020.0,,,,,,,
2020.0,Product Data Analyst,Mid,FT,HN,S,0.0,19097.0
2020.0,Machine Learning Engineer,Senior,FT,US,L,50.0,143225.0
2020.0,Data Analyst,Entry,FT,US,L,100.0,68748.0
2020.0,Lead Data Scientist,Senior,FT,US,S,100.0,181418.0
2020.0,Data Scientist,Mid,FT,HU,L,50.0,34121.0
2020.0,Business Data Analyst,Mid,FT,US,L,100.0,128903.0
2020.0,Lead Data Engineer,Senior,FT,NZ,S,50.0,119354.0
,,,,,,,
2020.0,Data Scientist,Mid,FT,IN,L,0.0,38653.0
2020.0,Data Scientist,Entry,FT,FR,M,0.0,38113.0
2020.0,Lead Data Analyst,Mid,FT,US,L,100.0,83071.0
2020.0,Data Analyst,Mid,FT,US,L,100.0,81161.0
2020.0,Data Analyst,Mid,FT,PK,L,50.0,7639.0
2020.0,Data Engineer,Entry,FT,JP,S,100.0,39806.0
2020.0,Big Data Engineer,Senior,FT,PL,S,100.0,108896.0
2020.0,Data Science Consultant,Entry,FT,IN,M,50.0,5449.0
2020.0,Lead Data Engineer,Mid,FT,PT,M,100.0,53471.0
2020.0,Machine Learning Engineer,Mid,FT,CN,M,0.0,41374.0
2020.0,Product Data Analyst,Mid,FT,IN,L,100.0,5798.0
2020.0,Data Engineer,Senior,FT,GR,L,50.0,45736.0
2020.0,BI Data Analyst,Mid,FT,US,M,0.0,93574.0
2020.0,Lead Data Scientist,Mid,FT,AE,L,0.0,
2020.0,Director of Data Science,Executive,FT,US,L,100.0,310321.0
2020.0,Research Scientist,Entry,FT,NL,L,50.0,40103.0
2020.0,Data Engineer,Senior,FT,MX,S,0.0,31997.0
2020.0,Business Data Analyst,Entry,CT,US,L,100.0,95483.0
2020.0,Machine Learning Manager,Senior,FT,CA,L,50.0,
2020.0,,,,,,,
2020.0,Big Data Engineer,Entry,FT,US,L,100.0,66838.0
2020.0,Data Scientist,Senior,FT,GR,L,100.0,65337.0
2020.0,Research Scientist,Mid,FT,US,M,0.0,429675.0
2020.0,Data Analyst,Mid,FT,FR,L,50.0,44647.0
2020.0,Data Engineer,Mid,FT,AT,L,50.0,70782.0
2020.0,Data Science Consultant,Mid,FT,US,L,100.0,98348.0
2020.0,Machine Learning Engineer,Entry,FT,US,L,50.0,238708.0
2020.0,Data Analyst,Entry,FT,NG,S,100.0,9548.0
2020.0,Machine Learning Engineer,Entry,FT,US,S,100.0,131767.0
